Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2020-04-04 15:40:46][1] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 15:40:46][1] Processed:  App\Jobs\FetchFacebookConversation
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
Horizon started successfully.
[2020-04-04 16:43:51][3] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:51][2] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:52][3] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:52][4] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:52][2] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:52][5] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][4] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][6] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][6] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][8] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][5] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][7] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][7] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:53][9] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:54][8] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:54][10] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:54][9] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:54][11] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:55][10] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:55][12] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:55][11] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:55][13] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:56][12] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:56][14] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:56][14] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:56][16] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:56][13] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:56][15] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:57][16] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:57][18] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:57][15] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:57][17] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:57][17] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:57][19] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:58][18] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:58][20] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:58][19] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:58][21] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:59][20] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:59][22] Processing: App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:59][21] Processed:  App\Jobs\FetchFacebookConversation
[2020-04-04 16:43:59][23] Processing: App\Jobs\FetchFacebookConversation
